,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,grand baie,75,MU,1553285340,88,-20.02,57.58,80.6,13.87
1,rikitea,48,PF,1553285450,98,-23.12,-134.97,79.06,17.72
2,kapaa,40,US,1553285293,61,22.08,-159.32,78.8,12.75
3,stepnyak,48,KZ,1553285450,67,52.83,70.79,18.67,3.62
4,hithadhoo,80,MV,1553285450,100,-0.6,73.08,85.45,5.53
5,vaini,0,IN,1553285451,78,15.34,74.49,64.3,1.16
6,yanam,0,IN,1553285451,89,16.73,82.22,77.53,4.18
7,furmanov,90,RU,1553283000,95,57.25,41.11,33.8,8.95
8,chumikan,0,RU,1553285451,57,54.72,135.31,-6.27,6.64
9,kruisfontein,64,ZA,1553285451,89,-34,24.73,67.09,8.99
10,vercelli,0,IT,1553285430,34,45.33,8.42,59,2.24
11,nemuro,48,JP,1553285452,100,43.32,145.57,25.87,21.52
12,yellowknife,20,CA,1553285052,97,62.45,-114.38,32,14.99
13,busselton,48,AU,1553285416,59,-33.64,115.35,50,17.72
14,tongren,92,CN,1553285452,95,27.72,109.18,41.26,7.65
15,kodiak,1,US,1553285316,1,39.95,-94.76,64,6.76
16,chokurdakh,0,RU,1553285453,29,70.62,147.9,-20.49,9.55
17,ilulissat,20,GL,1553280600,29,69.22,-51.1,-5.81,6.93
18,itaituba,40,BR,1553281200,66,-4.26,-55.99,87.8,2.51
19,hobart,56,AU,1553285175,89,-42.88,147.33,60.01,1.01
20,bluff,0,AU,1553285453,90,-23.58,149.07,70.24,6.2
21,visnes,75,NO,1553285403,93,59.36,5.22,46,23.04
22,new norfolk,80,AU,1553285415,89,-42.78,147.06,60.01,1.01
23,butaritari,92,KI,1553285454,100,3.07,172.79,76.27,5.3
24,padang,68,ID,1553285454,100,-0.92,100.36,77.62,3.74
25,bredasdorp,20,ZA,1553284845,77,-34.53,20.04,68,8.05
26,tuktoyaktuk,40,CA,1553281200,77,69.44,-133.03,-0.41,9.17
27,torrington,90,US,1553285411,84,42.06,-104.18,48.2,5.75
28,sisimiut,0,GL,1553285455,48,66.94,-53.67,-17.52,1.83
29,hermanus,36,ZA,1553284888,86,-34.42,19.24,68,4
30,albany,90,US,1553285433,97,42.65,-73.75,41,4.7
31,alihe,0,CN,1553285456,57,50.57,123.73,1.03,4.63
32,hirara,88,JP,1553285457,100,24.8,125.28,70.33,21.3
33,punta arenas,75,CL,1553284990,51,-53.16,-70.91,59,11.41
34,ushuaia,75,AR,1553281200,93,-54.81,-68.31,46.4,5.82
35,nikolskoye,75,RU,1553284786,55,59.7,30.79,37.4,15.66
36,souillac,0,FR,1553285439,41,45.6,-0.6,59,5.82
37,port hardy,75,CA,1553281200,66,50.7,-127.42,53.6,18.34
38,bambous virieux,75,MU,1553285340,88,-20.34,57.76,80.6,13.87
39,ulaanbaatar,0,MN,1553284800,71,47.92,106.92,5,2.73
40,kathmandu,20,NP,1553284200,71,27.71,85.32,53.6,4.7
41,east london,0,ZA,1553281200,88,-33.02,27.91,69.8,10.29
42,saskylakh,56,RU,1553285458,76,71.97,114.09,-3.93,19.06
43,puerto ayora,20,EC,1553284880,66,-0.74,-90.35,86,8.05
44,ponta do sol,92,BR,1553285458,86,-20.63,-46,68.62,9.78
45,kabala,48,SL,1553285519,70,9.59,-11.55,79.06,4.41
46,arraial do cabo,75,BR,1553281200,57,-22.97,-42.02,78.8,9.17
47,san patricio,0,PY,1553285519,67,-26.98,-56.83,74.38,3.4
48,nome,1,US,1553285504,22,30.04,-94.42,82,3.36
49,georgetown,75,GY,1553281200,55,6.8,-58.16,87.8,16.11
50,ostrovnoy,0,RU,1553285522,76,68.05,39.51,17.59,12.68
51,mastung,88,PK,1553285522,77,29.8,66.85,50.53,2.28
52,vostok,0,RU,1553285522,76,46.45,135.83,3.55,3.18
53,ahipara,24,NZ,1553285522,87,-35.17,173.16,68.17,3.4
54,vao,8,EE,1553285523,81,59.1,26.19,23.17,2.73
55,port elizabeth,90,US,1553285467,49,39.31,-74.98,53.01,28.86
56,batagay-alyta,48,RU,1553285523,41,67.8,130.41,-15.63,2.95
57,lebu,0,ET,1553285523,51,8.96,38.73,54.4,6.53
58,quesnel,1,CA,1553284833,56,52.98,-122.49,48.99,2.51
59,kui buri,0,TH,1553285523,87,12.07,99.86,71.41,2.95
60,port alfred,20,ZA,1553285416,94,-33.59,26.89,66.99,13.02
61,pombas,20,BR,1553285524,57,-15.9,-54.74,86.08,7.65
62,bethel,40,US,1553284560,70,60.79,-161.76,42.8,12.75
63,dikson,56,RU,1553285526,100,73.51,80.55,4.99,17.16
64,parsons,1,US,1553285291,22,37.34,-95.26,66.99,6.93
65,mezhdurechensk,0,RU,1553285527,60,53.69,88.07,15.7,3.74
66,barrow,0,AR,1553285527,45,-38.31,-60.23,72.94,12.24
67,verkhoyansk,20,RU,1553285527,30,67.55,133.39,-21.84,3.29
68,strelka,0,RU,1553285527,86,58.08,93.03,21.01,4.18
69,beidao,80,CN,1553285528,78,34.57,105.89,27.31,2.06
70,mount isa,0,AU,1553283000,57,-20.73,139.49,80.6,10.29
71,ust-nera,44,RU,1553285528,37,64.57,143.24,-14.01,1.61
72,coquimbo,20,CL,1553281200,72,-29.95,-71.34,62.6,14.99
73,ambilobe,24,MG,1553285529,97,-13.19,49.05,71.77,2.28
74,kulunda,0,RU,1553285529,67,52.57,78.94,14.35,4.63
75,cobija,75,BR,1553281200,74,-11.02,-68.77,84.2,9.17
76,mataura,44,NZ,1553285405,84,-46.19,168.86,60.01,4.41
77,vestmannaeyjar,88,IS,1553285529,97,63.44,-20.27,35.86,32.26
78,dunedin,68,NZ,1553285308,89,-45.87,170.5,61,2.84
79,ampanihy,92,MG,1553285530,96,-24.69,44.75,70.96,10.22
80,sao jose da coroa grande,12,BR,1553285530,83,-8.9,-35.15,83.11,9.44
81,jamestown,92,AU,1553285531,73,-33.21,138.6,67.27,5.75
82,mahebourg,75,MU,1553285340,88,-20.41,57.7,80.6,13.87
83,buchanan,75,LR,1553281200,83,5.88,-10.05,80.6,5.41
84,namatanai,12,PG,1553285532,100,-3.66,152.44,82.03,3.06
85,chifeng,0,CN,1553285533,72,42.27,118.96,15.7,8.43
86,khorixas,0,NA,1553285533,47,-20.37,14.96,68.26,3.96
87,grand gaube,75,MU,1553285340,88,-20.01,57.66,80.6,13.87
88,halvad,0,IN,1553285305,36,23.02,71.18,69.79,3.62
89,salalah,20,OM,1553280600,74,17.01,54.1,78.8,5.82
90,margate,12,AU,1553285535,53,-43.03,147.26,60.01,1.01
91,nanortalik,92,GL,1553285594,96,60.14,-45.24,32.98,27.78
92,hasaki,75,JP,1553284940,65,35.73,140.83,44.6,6.93
93,kosh-agach,0,RU,1553285594,54,49.99,88.66,1.3,2.51
94,castro,90,CL,1553281200,76,-42.48,-73.76,57.2,17.22
95,yichang,92,CN,1553285599,92,30.77,111.32,41.62,3.85
96,halifax,90,CA,1553285347,93,44.65,-63.58,39.99,31.09
97,bathsheba,40,BB,1553281200,62,13.22,-59.52,84.2,21.92
98,khatanga,0,RU,1553285599,25,71.98,102.47,-17.25,8.21
99,buenos aires,40,AR,1553285401,49,-34.61,-58.44,73,6.93
100,ngaoundere,24,CM,1553285601,36,7.32,13.58,79.69,5.64
101,pontal do parana,75,BR,1553285307,82,-25.67,-48.51,72,10.29
102,avarua,76,CK,1553283000,83,-21.21,-159.78,82.4,6.93
103,pangnirtung,75,CA,1553281200,47,66.15,-65.72,-9.41,14.99
104,partenit,20,UA,1553285602,99,44.58,34.34,43.69,11.12
105,salamiyah,8,SY,1553285602,82,35.01,37.05,42.43,2.95
106,atuona,64,PF,1553285602,100,-9.8,-139.03,81.85,16.6
107,alofi,75,NU,1553281200,74,-19.06,-169.92,78.8,5.82
108,cabo san lucas,5,MX,1553285149,50,22.89,-109.91,82.99,8.05
109,wahiawa,40,US,1553285591,57,21.5,-158.02,79,9.17
110,sao filipe,0,CV,1553285603,97,14.9,-24.5,70.6,13.02
111,los llanos de aridane,40,ES,1553285464,68,28.66,-17.92,64.4,18.34
112,mahibadhoo,48,MV,1553285603,97,3.78,72.97,85.36,9.33
113,isangel,92,VU,1553285603,100,-19.55,169.27,78.25,15.37
114,nhulunbuy,68,AU,1553283000,94,-12.18,136.78,75.2,11.41
115,touros,76,BR,1553285603,97,-5.2,-35.46,79.42,5.64
116,ancud,90,CL,1553281200,76,-41.87,-73.83,57.2,17.22
117,gazanjyk,0,TM,1553285604,89,39.24,55.52,38.65,3.06
118,kavaratti,0,IN,1553285346,100,10.57,72.64,83.65,9.55
119,airai,20,TL,1553285604,89,-8.93,125.41,69.34,1.95
120,rawson,0,AR,1553285604,35,-43.3,-65.11,76,10
121,eureka,90,US,1553285540,81,40.8,-124.16,55,12.75
122,kamaishi,32,JP,1553285606,67,39.28,141.86,31.99,7.31
123,mar del plata,92,AR,1553285606,65,-46.43,-67.52,63.67,14.92
124,winston-salem,1,US,1553285517,27,36.1,-80.24,66,10.29
125,qaanaaq,0,GL,1553285607,77,77.48,-69.36,-26.34,11.68
126,faya,0,SA,1553281200,36,18.39,42.45,64.4,5.82
127,mosquera,75,CO,1553281200,77,4.71,-74.23,60.8,6.93
128,hvide sande,0,DK,1553285362,100,56.01,8.13,46.99,5.82
129,orsha,48,BY,1553285607,60,54.51,30.43,33.07,20.85
130,iqaluit,20,CA,1553285568,61,63.75,-68.52,-16.01,20.8
131,kangaatsiaq,24,GL,1553285608,100,68.31,-53.46,-6.18,2.39
132,bubaque,44,GW,1553285608,98,11.28,-15.83,77.98,13.69
133,jalu,0,LY,1553285552,74,29.03,21.55,64.12,6.64
134,hay river,40,CA,1553281200,69,60.82,-115.79,37.4,8.05
135,bereda,0,ES,1553285598,93,43.27,-7.54,51.8,2.39
136,port lincoln,0,AU,1553285669,100,-34.72,135.86,61.33,6.53
137,naples,1,US,1553285631,40,26.14,-81.79,75,12.75
138,abha,0,SA,1553281200,36,18.22,42.5,64.4,5.82
139,richards bay,48,ZA,1553285669,100,-28.77,32.06,67.9,2.62
140,palmer,20,AU,1553285628,88,-34.85,139.16,71.01,4.7
141,fort nelson,40,CA,1553281200,42,58.81,-122.69,46.4,4.7
142,fare,92,PF,1553285671,95,-16.7,-151.02,85,10
143,mbour,20,SN,1553283000,73,14.41,-16.97,69.8,13.87
144,lasa,0,CY,1553284812,71,34.92,32.53,59,5.82
145,rapid city,1,US,1553285664,58,44.08,-103.23,55,11.41
146,axim,48,GH,1553285672,95,4.87,-2.24,83.83,13.8
147,saint george,0,GR,1553280600,81,39.45,22.34,46.4,5.82
148,roma,0,IT,1553285584,44,41.89,12.48,60.01,3.36
149,zhigansk,68,RU,1553285672,72,66.77,123.37,10.39,12.12
150,leningradskiy,20,RU,1553285672,83,69.38,178.42,-13.38,3.62
151,ribeira grande,40,PT,1553283000,82,38.52,-28.7,62.6,9.17
152,killybegs,40,IE,1553285523,81,54.63,-8.45,46.4,10.29
153,san jeronimo,75,PE,1553281200,62,-13.65,-73.37,55.4,2.51
154,banda aceh,12,ID,1553285673,96,5.56,95.32,72.13,1.72
155,snyder,40,US,1553285402,56,32.72,-100.92,69.01,21.92
156,duzce,12,TR,1553285586,82,40.84,31.16,31.72,1.72
157,clyde river,90,CA,1553281200,69,70.47,-68.59,-13.01,8.05
158,sieghartskirchen,5,AT,1553285660,66,48.26,16.01,52,2.24
159,najran,0,SA,1553281200,24,17.54,44.22,80.6,4.7
160,hambantota,0,LK,1553285674,100,6.12,81.12,80.86,5.64
161,sitka,56,US,1553284847,74,37.17,-99.65,54,3
162,caravelas,92,BR,1553285675,100,-17.73,-39.27,80.86,18.28
163,morondava,20,MG,1553285675,89,-20.3,44.28,80.86,4.63
164,tasiilaq,20,GL,1553284200,66,65.61,-37.64,14,13.87
165,kalmar,90,SE,1553284804,100,56.66,16.36,39.99,10.29
166,florianopolis,75,BR,1553284920,88,-27.6,-48.55,73,4.7
167,petropavlovsk-kamchatskiy,40,RU,1553283000,73,53.05,158.65,21.2,8.95
168,cherskiy,0,RU,1553285676,23,68.75,161.3,-15.72,3.18
169,bud,75,NO,1553284855,81,62.91,6.91,46.4,17.22
170,ormara,44,PK,1553285676,93,25.21,64.64,71.59,7.09
171,provideniya,88,RU,1553285676,100,64.42,-173.23,13.9,19.06
172,hofn,64,IS,1553285676,98,64.25,-15.21,38.74,35.28
173,estevan,1,CA,1553285644,65,49.14,-102.99,48.99,13.87
174,madimba,20,CM,1553281200,100,4.42,9.93,77,3.36
175,meulaboh,12,ID,1553285677,100,4.14,96.13,79.6,4.07
176,constitucion,20,MX,1553285416,15,23.99,-104.67,73,12.75
177,zivinice,0,BA,1553284800,56,44.45,18.65,44.6,1.12
178,batticaloa,0,LK,1553285476,100,7.71,81.69,78.97,2.51
179,narsaq,90,GL,1553284200,79,60.91,-46.05,21.2,3.36
180,hit,68,IQ,1553285738,48,33.64,42.83,53.68,4.74
181,port hedland,75,AU,1553283000,88,-20.31,118.58,82.4,17.22
182,itarema,88,BR,1553285502,94,-2.92,-39.92,76.9,4.07
183,yeppoon,56,AU,1553283000,88,-23.13,150.74,75.2,8.05
184,chuy,64,UY,1553285739,84,-33.69,-53.46,67.72,5.75
185,hobyo,92,SO,1553285739,85,5.35,48.53,79.51,13.02
186,lata,0,IN,1553285739,66,30.78,78.62,33.16,2.39
187,rize,75,TR,1553284200,81,41.02,40.52,46.4,4.7
188,tazovskiy,76,RU,1553285740,91,67.47,78.7,21.1,7.09
189,victoria,75,BN,1553283000,94,5.28,115.24,77,1.16
190,ilirska bistrica,0,SI,1553285716,65,45.57,14.24,55.99,5.82
191,bara,0,NG,1553285741,50,10.41,10.6,80.95,3.29
192,miramar,0,CR,1553284800,44,10.09,-84.73,82.4,19.46
193,torbay,75,CA,1553285093,86,47.66,-52.73,33.01,21.92
194,bambanglipuro,32,ID,1553285745,98,-7.95,110.28,70.15,2.95
195,surt,0,LY,1553285464,96,31.21,16.59,58.45,7.99
196,prince george,1,CA,1553285418,56,53.92,-122.75,51.01,2.24
197,burgas,0,BG,1553284854,65,42.49,27.45,46.99,10.29
198,cidreira,92,BR,1553285748,100,-30.17,-50.22,62.32,9.33
199,kholm-zhirkovskiy,88,RU,1553285748,81,55.52,33.47,32.62,16.26
200,havelock,1,US,1553285626,41,34.88,-76.9,66,17.22
201,kholodnyy,64,RU,1553285748,60,62.72,147.95,-9.51,2.73
202,esperance,40,TT,1553285744,52,10.24,-61.45,89.6,13.87
203,san rafael del sur,0,NI,1553281200,28,11.85,-86.44,93.2,16.11
204,carnarvon,24,ZA,1553285749,36,-30.97,22.13,58.45,9.22
205,oktyabrskiy,75,RU,1553285128,80,55.61,37.97,35.01,17.9
206,acapulco,5,MX,1553280360,66,16.86,-99.88,86,11.41
207,half moon bay,75,US,1553285742,82,37.46,-122.43,60.01,12.75
208,bela vista de goias,20,BR,1553281200,55,-16.97,-48.95,86,9.17
209,saint-philippe,90,CA,1553285717,96,45.36,-73.48,39,10.29
210,tura,20,IN,1553285750,92,25.52,90.21,62.23,5.19
211,namibe,20,AO,1553285750,100,-15.19,12.15,78.25,1.39
212,ketchikan,90,US,1553284380,81,55.34,-131.65,48.2,4.7
213,champerico,40,MX,1553283960,42,16.38,-93.6,86,17.22
214,katrineholm,0,SE,1553285744,65,59,16.21,45,11.41
215,huangnihe,20,CN,1553285751,79,43.56,128.02,16.96,3.4
216,quelimane,40,MZ,1553281200,83,-17.88,36.89,80.6,8.05
217,emerald,0,AU,1553285595,94,-23.53,148.16,71.6,4.7
218,moindou,0,NC,1553283000,88,-21.69,165.68,71.6,3.62
219,upernavik,32,GL,1553285752,100,72.79,-56.15,-9.96,6.2
220,ponta delgada,40,PT,1553285694,82,37.73,-25.67,59,5.82
221,pozzallo,0,IT,1553285718,20,44.81,9.34,62.6,3.36
222,comodoro rivadavia,75,AR,1553281200,48,-45.87,-67.48,66.2,10.29
223,tiksi,56,RU,1553285752,57,71.64,128.87,1.93,4.97
224,kaitangata,56,NZ,1553285752,88,-46.28,169.85,59.44,4.41
225,parakou,32,BJ,1553285753,68,9.34,2.63,78.07,3.96
226,ushtobe,0,KZ,1553285753,79,45.25,77.98,31.54,2.39
227,hilo,75,US,1553285551,64,19.71,-155.08,77,4.7
228,cayenne,75,GF,1553283000,66,4.94,-52.33,86,12.75
229,sao joao da barra,90,BR,1553281200,88,-21.64,-41.05,75.2,6.93
230,thompson,40,CA,1553281200,41,55.74,-97.86,42.8,16.11
231,mount pleasant,1,US,1553285615,26,33.16,-94.97,77,4.18
232,zabol,75,IR,1553281200,45,31.03,61.49,66.2,21.92
233,grindavik,75,IS,1553285801,100,63.84,-22.43,34,40.26
234,durres,75,AL,1553284200,62,41.32,19.44,53.6,4.7
235,mehamn,20,NO,1553280600,74,71.03,27.85,30.2,24.16
236,kovylkino,64,RU,1553285817,90,54.04,43.91,30.55,9.22
237,calabozo,0,VE,1553285817,30,8.92,-67.43,98.05,10
238,norman wells,90,CA,1553281200,79,65.28,-126.83,21.2,6.93
239,tyumentsevo,8,RU,1553285817,61,53.32,81.5,9.67,3.4
240,qaqortoq,90,GL,1553284200,79,60.72,-46.03,21.2,3.36
241,neepawa,5,CA,1553284800,64,50.23,-99.46,37.4,5.82
242,whitley bay,20,GB,1553285805,87,55.04,-1.44,51.01,13.87
243,iquitos,75,PE,1553283480,83,-3.75,-73.25,78.8,17.22
244,omsukchan,32,RU,1553285818,80,62.53,155.8,4.27,5.19
245,yashan,80,CN,1553285818,89,30.81,118.02,40.63,3.18
246,mugango,48,TZ,1553285819,98,-1.69,33.7,72.13,2.95
247,ixtapa,5,MX,1553285742,51,20.71,-105.21,82.4,12.75
248,paita,0,PE,1553281200,290,-5.09,-81.11,62.6,10.11
249,manaus,12,BR,1553285819,85,-3.13,-59.98,85.45,2.62
250,awjilah,0,LY,1553285819,58,29.14,21.3,68.71,10.67
251,kavieng,56,PG,1553285820,100,-2.57,150.8,82.39,8.99
252,resistencia,0,AR,1553281200,41,-27.45,-58.99,80.6,6.93
253,san rafael,0,AR,1553285821,23,-34.61,-68.33,76,6.2
254,grootfontein,12,NA,1553285824,41,-19.56,18.1,74.29,4.63
255,chinameca,0,SV,1553280600,43,13.51,-88.35,96.8,11.41
256,gorontalo,0,ID,1553285824,95,0.54,123.06,72.13,1.95
257,saldanha,0,PT,1553285825,63,41.42,-6.55,42.25,4.41
258,barreirinhas,80,BR,1553285825,87,-2.75,-42.83,78.79,5.19
259,poum,0,MK,1553284800,42,41.28,20.71,46.4,1.12
260,templemore,0,IE,1553285727,84,52.79,-7.83,44.01,9.1
261,dakar,20,SN,1553283000,73,14.69,-17.45,69.8,13.87
262,baykit,0,RU,1553285825,84,61.68,96.39,19.57,9.89
263,weligama,0,LK,1553285777,99,5.97,80.42,77.62,4.29
264,aasiaat,12,GL,1553285826,100,68.71,-52.87,-6.18,8.99
265,lamu,8,ID,1553285826,100,0.57,122.3,71.86,2.95
266,yar-sale,64,RU,1553285826,79,66.83,70.83,15.61,4.97
267,bukama,24,CD,1553285829,87,-9.2,25.85,75.1,4.18
268,tamazunchale,44,MX,1553285829,72,21.26,-98.79,67.18,2.17
269,egvekinot,0,RU,1553285829,65,66.32,-179.17,-1.32,11.01
270,almazar,20,UZ,1553283000,81,40.32,69.01,53.6,11.18
271,imbituba,75,BR,1553281200,88,-28.24,-48.67,68,4.7
272,rocky mountain house,0,CA,1553285676,34,52.38,-114.92,58.9,3.4
