,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
273,khilok,0,RU,1553285890,69,51.36,110.46,7.15,4.97
274,klaksvik,24,FO,1553284200,56,62.23,-6.59,41,32.21
275,quatre cocos,40,MU,1553285640,83,-20.21,57.76,82.4,6.93
276,saint-esteve,0,FR,1553285834,77,42.71,2.84,55.99,2.24
277,xai-xai,64,MZ,1553285894,99,-25.04,33.64,77.17,10.11
278,hakodate,36,JP,1553285894,100,41.8,140.75,29.47,8.43
279,kuji,24,JP,1553285895,61,40.18,141.75,28.75,7.43
280,sorland,75,NO,1553282400,87,67.67,12.69,42.8,35.57
281,cape town,0,ZA,1553285573,77,-33.93,18.42,68,13.87
282,ludvika,68,SE,1553285741,60,60.15,15.18,43,8.05
283,sibolga,80,ID,1553285898,100,1.74,98.78,69.7,1.05
284,arman,80,RU,1553285898,84,59.7,150.17,19.57,7.43
285,lagoa,0,PT,1553285830,72,37.14,-8.45,61,6.93
286,roald,75,NO,1553285788,87,62.58,6.12,46.4,23.04
287,zelenoborsk,64,RU,1553285901,87,61.47,64.05,26.05,2.95
288,henties bay,0,NA,1553284927,88,-22.12,14.28,61,1.99
289,caruray,0,PH,1553285901,100,10.31,119.01,78.34,6.87
290,marzuq,0,YE,1553285902,57,14.4,46.47,51.79,2.95
291,country club,75,BR,1553285694,64,-23.02,-47.01,75.99,11.41
292,nkhata bay,56,MW,1553285902,100,-11.61,34.3,71.68,5.75
293,klyuchi,0,RU,1553285902,64,52.25,79.17,17.05,4.18
294,sao gabriel da cachoeira,40,BR,1553281200,66,-0.13,-67.09,87.8,4.7
295,sabya,0,YE,1553285903,94,16.19,43.1,66.82,1.95
296,chase,1,US,1553285826,59,43.89,-85.64,37,18.34
297,ploemeur,12,FR,1553285777,93,47.73,-3.43,50,3.36
298,macherla,0,IN,1553285903,88,16.48,79.44,70.15,3.18
299,karpathos,20,GR,1553282400,63,35.51,27.21,60.8,20.8
300,trincomalee,0,LK,1553285903,92,8.58,81.23,75.37,2.95
301,luderitz,0,NA,1553285898,88,-26.65,15.16,59.8,8.21
302,houma,48,CN,1553285904,60,35.63,111.36,29.29,3.74
303,nenjiang,0,CN,1553285904,51,49.17,125.23,4.27,5.64
304,saint-augustin,0,FR,1553285890,50,44.83,-0.61,57.2,5.82
305,alyangula,40,AU,1553281200,83,-13.85,136.42,80.6,12.75
306,balkanabat,8,TM,1553285904,82,39.51,54.36,32.17,2.17
307,rio verde de mato grosso,32,BR,1553285905,53,-18.92,-54.84,84.73,5.86
308,tual,24,ID,1553285905,95,-5.67,132.75,84.82,13.8
309,nyrob,68,RU,1553285905,72,60.74,56.73,18.94,2.95
310,hami,0,CN,1553285905,62,42.84,93.51,28.84,4.29
311,komsomolskiy,76,RU,1553285905,87,67.55,63.78,19.66,4.18
312,port hawkesbury,90,CA,1553285815,93,45.62,-61.36,41,28.86
313,harper,90,US,1553285897,49,30.3,-99.24,73.99,11.41
314,kieta,12,PG,1553285906,100,-6.22,155.63,79.87,1.95
315,erzin,0,TR,1553284200,81,36.95,36.2,61,6.93
316,longyearbyen,40,NO,1553284200,58,78.22,15.63,24.8,1.61
317,yazman,36,SY,1553285966,72,36.74,38.46,51.97,6.31
318,namtsy,0,RU,1553283000,82,62.72,129.66,-16.61,4.47
319,turayf,0,SA,1553281200,67,31.68,38.65,57.2,21.92
320,cururupu,92,BR,1553285967,84,-1.82,-44.87,79.87,5.41
321,kappeln,20,DE,1553285950,100,54.66,9.93,50,10.29
322,aizpute,0,LV,1553284200,100,56.72,21.61,28.4,5.86
323,miragoane,80,HT,1553285717,70,18.44,-73.09,82,5.64
324,lakes entrance,24,AU,1553285895,95,-37.88,147.99,64,6.42
325,geraldton,20,CA,1553284800,36,49.72,-86.95,28.4,8.05
326,sovetskiy,8,RU,1553285968,74,56.76,48.47,16.69,2.95
327,moss point,1,US,1553285850,37,30.41,-88.53,73.99,3.36
328,guadalupe,75,MX,1553283600,60,25.68,-100.26,73.4,13.87
329,dingle,32,PH,1553285971,91,11,122.67,74.56,9.66
330,pocatello,90,US,1553285823,81,42.87,-112.44,42.8,12.75
331,necochea,32,AR,1553285789,40,-38.55,-58.74,72,3
332,tuatapere,64,NZ,1553285405,84,-46.13,167.69,60.01,3.06
333,morehead,75,US,1553285839,43,38.18,-83.43,53.6,11.41
334,ukmerge,0,LT,1553285853,47,55.25,24.75,37.4,2.24
335,laguna de perlas,20,NI,1553281200,66,12.34,-83.67,86,9.17
336,paramonga,56,PE,1553285972,92,-10.68,-77.82,70.51,7.87
337,zhurivka,0,UA,1553283000,33,50.5,31.77,42.8,17.9
338,les cayes,0,HT,1553285972,97,18.19,-73.75,80.32,8.66
339,chimbote,32,PE,1553285973,78,-9.08,-78.59,74.56,6.31
340,faanui,88,PF,1553285842,100,-16.48,-151.75,83.83,7.99
341,bandar-e lengeh,36,IR,1553285973,93,26.56,54.88,72.49,12.46
342,beloha,92,MG,1553285973,92,-25.17,45.06,72.76,10.67
343,beringovskiy,32,RU,1553285954,77,63.05,179.32,-0.6,26.11
344,port dover,75,CA,1553285703,55,42.79,-80.2,37.99,26.4
345,kaseda,68,JP,1553285591,70,31.42,130.32,48,8.01
346,novopokrovka,36,RU,1553285974,70,45.85,134.51,6.43,2.39
347,kasulu,44,TZ,1553285974,91,-4.57,30.11,66.46,2.95
348,pangkalanbuun,36,ID,1553285974,93,-2.68,111.62,72.31,2.62
349,manado,20,ID,1553283000,94,1.49,124.85,73.4,1.12
350,saurimo,36,AO,1553285974,75,-9.66,20.4,71.95,1.95
351,andra,64,RU,1553285974,80,62.52,65.89,19.39,3.62
352,armidale,36,AU,1553285716,82,-30.51,151.67,52,2.73
353,saint-joseph,0,FR,1553285885,50,43.56,6.97,60.01,3.36
354,miles city,1,US,1553285970,61,46.41,-105.84,54,18.34
355,sorong,92,ID,1553285900,100,-0.86,131.25,80.95,5.64
356,fortuna,0,ES,1553285718,39,38.18,-1.13,62.6,4.7
357,aswan,0,EG,1553281200,14,24.09,32.9,84.2,8.05
358,san cristobal,90,EC,1553285797,81,-0.39,-78.55,68,5.82
359,amapa,40,HN,1553284800,43,15.09,-87.97,87.8,23.04
360,alice springs,0,AU,1553283000,39,-23.7,133.88,69.8,3.36
361,santa vitoria do palmar,64,BR,1553286036,84,-33.52,-53.37,67.72,5.75
362,yulara,0,AU,1553281200,25,-25.24,130.99,75.2,2.24
363,tezu,92,IN,1553286037,100,27.93,96.16,50.89,1.5
364,anloga,20,GH,1553281200,83,5.79,0.9,82.4,1.12
365,port blair,20,IN,1553281200,88,11.67,92.75,77,2.24
366,olinda,75,EC,1553285992,66,-2.03,-79.75,88,4.7
367,sabha,0,LY,1553286037,35,27.03,14.43,59.89,13.02
368,bonavista,24,CA,1553285753,85,48.65,-53.11,32,4
369,cairns,75,AU,1553285717,83,-16.92,145.77,78.8,9.17
370,itupiranga,90,BR,1553281200,100,-5.13,-49.33,77,4.7
371,gimli,0,CA,1553286005,59,50.63,-96.99,41,5.01
372,taksimo,36,RU,1553286038,80,56.36,114.84,3.46,1.95
373,ishigaki,92,JP,1553286038,100,24.34,124.16,69.79,22.75
374,algemesi,0,ES,1553286034,58,39.18,-0.43,59,2.73
375,labuhan,76,ID,1553286039,97,-2.54,115.51,71.86,1.16
376,stropkov,0,SK,1553285889,71,49.2,21.65,50,14.99
377,maraba,90,BR,1553281200,100,-5.35,-49.1,77,4.7
378,thinadhoo,48,MV,1553286039,99,0.53,72.93,85.45,6.98
379,chihuahua,75,MX,1553285739,12,28.66,-106.08,78.8,11.41
380,guanare,76,VE,1553286014,45,9.04,-69.74,92.02,2.28
381,pevek,0,RU,1553286040,45,69.7,170.27,-15.18,5.64
382,flinders,40,AU,1553286006,100,-34.58,150.85,64.99,5.82
383,concordia,0,AR,1553285813,38,-31.4,-58.02,75.99,6.93
384,bilibino,48,RU,1553286041,60,68.06,166.44,-8.16,2.39
385,chicomuselo,76,MX,1553286041,34,15.77,-92.27,81.4,1.72
386,neryungri,12,RU,1553286041,40,56.66,124.71,-15.36,2.73
387,buarcos,0,PT,1553285793,47,40.16,-8.88,59,10.29
388,kloulklubed,75,PW,1553280600,88,7.04,134.26,75.2,4.7
389,purpe,64,RU,1553285870,88,64.48,76.69,14,5.19
390,aklavik,90,CA,1553285340,78,68.22,-135.01,10.4,5.82
391,chernyshevskiy,76,RU,1553286042,87,63.01,112.47,20.02,4.41
392,te anau,36,NZ,1553286043,83,-45.41,167.72,55.57,3.51
393,gat,44,SN,1553284800,73,14.69,-16.54,69.8,13.87
394,port moresby,20,PG,1553284800,94,-9.47,147.16,77,5.82
395,hamilton,75,BM,1553285919,73,32.3,-64.78,71.6,24.16
396,arlit,76,NE,1553286044,25,18.74,7.39,73.03,7.2
397,bonthe,12,SL,1553286044,77,7.53,-12.5,83.02,5.19
398,daru,68,SL,1553286044,67,7.99,-10.85,80.59,5.41
399,dali,0,CN,1553286045,100,25.6,100.24,41.98,1.72
400,asekeyevo,92,RU,1553286045,91,53.57,52.8,31.36,8.66
401,griffith,92,AU,1553281200,60,-34.29,146.06,69.8,8.05
402,eregli,0,TR,1553286046,67,37.51,34.05,31.9,0.6
403,camacha,40,PT,1553283000,63,33.08,-16.33,62.6,14.99
404,san quintin,12,PH,1553286106,79,17.54,120.52,65.56,2.51
405,boras,90,SE,1553285961,93,57.72,12.94,44.6,18.34
406,bombay,90,US,1553286028,100,44.94,-74.57,37.99,11.41
407,lazurne,92,UA,1553286107,82,46.77,34.99,44.05,14.7
408,the valley,20,AI,1553285795,57,18.22,-63.06,82.99,14.99
409,honningsvag,44,NO,1553286107,91,70.98,25.97,31.72,21.3
410,troitskoye,0,RU,1553286107,66,52.98,84.68,16.15,4.74
411,nassau,0,DE,1553285824,76,51.17,13.51,53.6,5.82
412,guymon,90,US,1553284500,66,36.68,-101.48,53.6,11.41
413,sur,0,OM,1553286108,100,22.57,59.53,71.23,9.44
414,anadyr,0,RU,1553281200,75,64.73,177.51,-20.21,26.84
415,tacoronte,40,ES,1553286104,76,28.48,-16.41,66,14.99
416,bodden town,20,KY,1553284805,57,19.28,-81.25,80.6,12.75
417,taunggyi,0,MM,1553286108,77,20.78,97.03,52.15,1.39
418,whittlesea,90,AU,1553286063,56,-37.51,145.12,73.99,26.4
419,praya,88,ID,1553286109,100,-8.71,116.27,77.35,6.2
420,bull savanna,64,JM,1553286109,53,17.89,-77.59,80.23,3.06
421,walvis bay,0,NA,1553284927,82,-22.95,14.51,61,4.7
422,husavik,0,CA,1553286052,59,50.56,-96.99,41,7
423,vila,0,IT,1553286074,34,45.18,8.4,59,2.24
424,polyarnyye zori,20,RU,1553286110,76,67.37,32.5,19.03,5.75
425,naze,75,NG,1553281200,83,5.43,7.07,80.6,4.41
426,shingu,0,JP,1553286110,100,33.72,135.99,46.84,15.59
427,yumen,0,CN,1553286110,58,40.29,97.04,22.99,6.76
428,cabangahan,20,PH,1553281200,88,10.4,123.92,75.2,2.24
429,viedma,0,AR,1553285952,39,-40.81,-62.99,76.63,5.64
430,mayo,40,CA,1553284800,40,63.59,-135.9,53.6,10.29
431,baoqing,76,CN,1553286111,63,46.32,132.2,13.09,2.73
432,pierre,1,US,1553285937,86,44.37,-100.35,41,12.75
433,gizo,20,IL,1553286066,87,31.8,34.94,61,2.24
434,wilmington,40,US,1553286107,43,39.75,-75.55,51.01,25.28
435,devils lake,1,US,1553285700,95,48.11,-98.87,35.6,6.93
436,brae,48,GB,1553282400,90,60.4,-1.35,44.6,38.03
437,constantine,75,DZ,1553283000,87,36.36,6.61,46.4,9.17
438,arantangi,0,IN,1553286112,99,10.17,78.99,78.79,7.76
439,zverinogolovskoye,0,RU,1553286113,59,54.46,64.85,10.39,2.95
440,phan thiet,12,VN,1553285951,100,10.93,108.1,77.35,6.08
441,mnogovershinnyy,0,RU,1553286113,37,53.94,139.92,-11.67,2.17
442,nioro,24,GM,1553286113,28,13.79,-15.05,84.46,9.33
443,severo-kurilsk,92,RU,1553285858,97,50.68,156.12,31.09,23.42
444,springdale,1,US,1553286096,24,36.19,-94.13,69.01,5.82
445,srikakulam,8,IN,1553286114,100,18.29,83.89,79.69,6.98
446,sinnamary,56,GF,1553286114,95,5.38,-52.96,80.05,10.56
447,cranbourne,90,AU,1553286035,56,-38.11,145.28,73.99,26.4
448,araouane,80,ML,1553286114,17,18.9,-3.53,74.2,7.43
449,iskateley,32,RU,1553286175,64,67.68,53.15,17.05,6.2
450,khani,75,GE,1553283000,93,41.96,42.96,42.8,3.36
451,praia,90,BR,1553281200,83,-20.25,-43.81,69.8,5.82
452,puerto escondido,0,MX,1553286177,100,15.86,-97.07,82.48,8.99
453,melk,5,AT,1553286162,66,48.23,15.34,52,2.24
454,graham,1,US,1553286174,23,36.07,-79.4,64.4,18.34
455,camargo,32,MX,1553286177,12,27.69,-105.17,79.87,4.97
456,kaeo,0,NZ,1553285286,96,-35.1,173.78,60.01,4.41
457,voh,92,NC,1553286178,95,-20.95,164.69,80.41,9.78
458,karwar,0,IN,1553286178,74,14.8,74.13,70.15,1.72
459,kefamenanu,0,ID,1553286178,94,-9.45,124.48,69.34,2.06
460,cutervo,92,PE,1553286178,83,-6.38,-78.82,58.63,2.39
461,pontes e lacerda,32,BR,1553286178,79,-15.23,-59.33,80.95,4.63
462,vozrozhdeniye,0,RU,1553286123,58,60.86,28.96,35.01,2.24
463,le port,0,FR,1553286168,50,42.87,1.37,52,3
464,paamiut,68,GL,1553286182,100,61.99,-49.67,25.15,24.54
465,okhotsk,76,RU,1553286183,94,59.36,143.24,11.47,2.28
466,berlin,0,DE,1553286110,93,52.52,13.39,48.99,6.93
467,divnomorskoye,80,RU,1553286183,79,44.5,38.13,46.03,13.02
468,praia da vitoria,20,PT,1553285782,72,38.73,-27.07,64.4,14.7
469,isla mujeres,40,MX,1553285588,54,21.23,-86.73,78.8,11.41
470,moree,0,AU,1553285730,64,-29.46,149.84,73.4,12.75
471,goderich,76,CA,1553285843,75,43.74,-81.71,30,5.01
472,haines junction,48,CA,1553286184,55,60.75,-137.51,44.68,3.18
473,wewak,68,PG,1553286184,100,-3.55,143.63,74.47,2.73
474,bilma,24,NE,1553285935,15,18.69,12.92,79.87,10.45
475,amanpur,0,IN,1553286184,38,27.72,78.75,66.82,11.56
476,khudumelapye,0,BW,1553286184,38,-23.91,24.95,69.43,4.63
477,mae hong son,0,MM,1553286184,76,19.3,97.96,67,1.61
478,lethem,0,GY,1553286185,29,3.38,-59.8,97.15,15.7
479,zuenoula,76,CI,1553286185,78,7.43,-6.04,76.72,3.4
480,el alto,40,BO,1553281200,46,-16.5,-68.19,60.8,16.11
481,porto novo,75,BR,1553284800,100,-23.68,-45.44,66.2,5.82
482,shaowu,44,CN,1553285988,99,27.34,117.49,47.11,2.39
483,laguna,8,MX,1553286187,16,27.52,-110.01,83.83,4.18
484,baoding,0,CN,1553286187,25,38.86,115.49,35.23,9.33
485,ibra,36,OM,1553286187,85,22.69,58.55,62.32,2.62
486,eydhafushi,92,MV,1553286187,94,5.1,73.07,85.9,8.77
487,watsa,0,CD,1553286188,82,3.04,29.53,70.06,2.17
488,lufilufi,20,WS,1553286186,78,-13.87,-171.6,86,2.24
489,ayan,20,TR,1553286188,66,40.67,33.6,24.43,2.39
490,antofagasta,0,CL,1553281200,60,-23.65,-70.4,69.8,13.87
491,curup,68,ID,1553286188,96,-3.47,102.53,69.52,1.16
492,xixiang,20,CN,1553286159,88,22.58,113.87,73.4,17.22
493,churapcha,8,RU,1553286189,46,62,132.43,-16.35,4.52
494,riyadh,0,SA,1553281200,35,24.63,46.72,69.8,10.29
495,qarayeri,75,AZ,1553283000,45,40.79,46.31,48.2,18.34
496,gerash,75,IR,1553281200,87,27.67,54.14,57.2,2.62
497,ulladulla,40,AU,1553285777,100,-35.36,150.48,69.01,5.82
498,juba,12,EE,1553285896,64,57.82,26.93,34,8.05
499,bar harbor,90,US,1553286218,93,44.39,-68.2,42.8,6.93
500,anjozorobe,75,MG,1553284800,100,-18.4,47.88,64.4,5.82
501,mahon,75,IE,1553283000,75,51.89,-8.4,44.6,8.05
502,seymchan,56,RU,1553286251,61,62.93,152.39,-3.84,2.39
503,ridgecrest,1,US,1553285979,38,35.62,-117.67,68,5.82
504,neiafu,40,TO,1553284800,69,-18.65,-173.98,80.6,9.17
505,mazatlan,5,MX,1553285776,44,23.22,-106.42,80.6,8.05
506,suntar,80,RU,1553286254,87,62.16,117.65,19.39,4.97
507,waddan,0,LY,1553286254,59,29.16,16.14,61.15,12.91
508,boulder city,1,US,1553286040,31,35.98,-114.83,68,8.05
509,delta del tigre,40,UY,1553285780,52,-34.76,-56.41,69.8,6.93
510,marsa matruh,20,EG,1553281200,87,31.35,27.25,60.8,9.17
511,satipo,80,PE,1553286255,93,-11.26,-74.64,69.97,1.05
512,tokat,0,TR,1553284200,92,40.33,36.55,25,6.93
513,sant feliu de guixols,0,ES,1553286238,34,41.78,3.03,57.99,4.7
514,qena,0,EG,1553281200,36,26.16,32.72,75.2,2.84
515,aykhal,80,RU,1553286256,71,65.95,111.51,7.15,10
516,talnakh,0,RU,1553286256,59,69.49,88.39,-7.26,2.17
517,coro,8,VE,1553286256,57,11.41,-69.67,86.62,11.79
518,valparaiso,40,US,1553285955,55,41.47,-87.06,44.01,16.11
519,ngunguru,64,NZ,1553285286,96,-35.62,174.5,60.01,3.18
520,ucluelet,75,CA,1553285725,47,48.94,-125.55,62.01,13.87
521,san pedro,0,AR,1553285738,43,-33.68,-59.66,75,1.99
522,port shepstone,20,ZA,1553286260,95,-30.74,30.45,72.22,13.24
523,mecca,24,SA,1553286158,71,21.43,39.83,60.97,2.73
524,buraydah,5,SA,1553281200,49,26.33,43.97,71.6,16.11
525,mitsamiouli,20,KM,1553284800,78,-11.38,43.28,78.8,4.7
526,belawan,80,ID,1553286262,100,-0.59,114.46,71.32,1.61
527,jaru,64,BR,1553286262,84,-10.43,-62.48,81.49,2.73
528,jega,0,NG,1553286262,62,12.22,4.38,80.23,2.95
529,fomboni,8,KM,1553286263,100,-12.28,43.74,83.83,2.17
530,rio tercero,0,AR,1553286263,54,-32.17,-64.11,74.83,4.18
531,hualmay,12,PE,1553286263,67,-11.1,-77.61,77.08,4.97
532,dezful,0,IR,1553286263,63,32.38,48.4,48.19,3.85
533,price,75,US,1553285945,60,39.6,-110.81,46,3.06
534,lompoc,1,US,1553285888,63,34.64,-120.46,64,9.17
535,ossora,64,RU,1553286324,89,59.24,163.07,21.55,11.9
536,sheksna,90,RU,1553283000,95,59.21,38.5,33.8,4.47
537,luanda,75,AO,1553284800,83,-8.83,13.24,77,16.11
538,nishihara,90,JP,1553286321,45,35.74,139.53,48.99,10.29
539,heyang,92,CN,1553286324,97,26.1,107.47,40.9,5.75
540,sattahip,20,TH,1553285698,78,12.67,100.9,89.01,5.82
541,bantigue,68,PH,1553286325,98,10.99,124.62,74.29,5.41
542,ordzhonikidze,36,UA,1553286325,86,44.96,35.36,46.39,12.68
543,talcahuano,0,CL,1553281200,64,-36.72,-73.12,68,19.46
544,macon,1,US,1553286042,22,32.84,-83.63,71.01,16.11
545,oxnard,75,US,1553286321,63,34.2,-119.18,64.99,9.17
546,yerbogachen,88,RU,1553286325,90,61.28,108.01,25.15,6.53
547,floro,75,NO,1553286113,93,61.6,5.03,46,25.28
548,codrington,40,AU,1553286080,93,-28.95,153.24,69.8,1.12
